index,Q1,Q2,Q3,Q4
0,3,3,2,2
1,3,4,3,2
2,3,4,2,2
3,3,2,3,2
4,3,2,2,2
5,3,2,2,2
6,3,3,2,2
7,3,2,1,2
8,3,2,2,1
9,4,3,3,2
10,3,3,2,2
11,3,3,2,2
12,3,3,2,2
13,3,3,2,2
14,3,4,2,2
15,3,2,2,2
16,3,2,2,1
17,3,3,2,2
18,3,3,2,2
19,3,3,2,2
20,3,2,2,2
21,3,2,2,2
22,3,2,2,2
23,3,3,2,2
24,3,2,2,2
25,3,2,2,2
26,3,2,2,1
27,4,3,3,2
28,3,3,2,2
29,3,3,2,2
30,3,4,2,2
31,4,3,2,2
32,4,3,2,2
33,3,3,2,2
34,4,3,2,2
35,3,3,2,2
36,3,3,2,2
37,3,2,2,1
38,3,3,2,2
39,4,4,3,2
40,3,2,2,2
41,3,2,2,2
42,3,2,2,2
43,3,3,2,2
44,3,3,2,2
45,3,3,2,2
46,3,2,2,2
47,3,2,2,2
48,3,2,2,2
49,3,3,2,2
50,3,3,2,2
51,4,3,2,2
52,3,4,3,2
53,3,2,2,2
54,3,3,2,2
55,3,3,2,2
56,3,3,2,2
57,3,2,2,2
58,4,3,2,2
59,3,3,2,2
60,3,3,2,2
61,3,4,3,2
62,3,3,2,2
63,3,2,2,2
64,3,2,2,1
65,3,3,2,2
66,3,3,2,2
67,4,3,2,3
68,3,4,2,3
69,3,3,2,2
70,3,4,2,2
71,3,4,2,2
72,3,3,2,2
73,3,3,2,2
74,3,3,2,2
75,4,3,2,2
76,3,2,2,1
77,3,3,2,2
78,3,3,2,2
79,3,3,2,2
80,3,3,2,2
81,3,2,3,2
82,3,4,3,2
83,3,4,3,2
84,3,4,2,3
85,3,2,2,2
86,3,2,2,2
87,3,3,2,2
88,3,3,2,2
89,3,4,3,2
90,3,2,2,2
91,3,2,3,2
92,3,2,2,2
93,2,3,2,2
94,3,3,2,2
95,3,3,2,2
96,3,4,2,2
97,3,4,2,2
98,3,2,2,2
99,3,2,3,2
100,3,2,2,2
101,3,3,2,2
102,3,2,2,2
103,3,3,2,2
104,3,4,2,2
105,3,3,2,2
106,3,3,2,2
107,3,3,2,2
108,3,3,2,2
109,3,4,3,2
110,3,3,2,2
111,3,4,3,2
112,3,4,2,3
113,3,4,2,2
114,3,4,2,2
115,3,2,2,2
116,3,3,2,2
117,3,4,2,2
118,3,3,2,2
119,3,4,2,2
120,3,4,2,2
121,3,2,2,2
122,3,2,2,2
123,3,4,3,2
124,3,3,2,2
125,3,4,2,2
126,3,4,3,2
127,3,3,2,2
128,3,3,2,2
129,3,3,2,2
130,3,3,2,2
131,3,2,2,1
132,3,2,2,2
133,3,4,2,2
134,3,3,2,2
135,3,3,2,2
136,3,2,2,2
137,3,2,2,2
138,3,4,2,2
139,3,3,2,2
140,3,3,2,2
141,3,3,2,3
142,3,3,2,2
143,3,3,2,2
144,3,4,3,2
145,3,2,2,2
146,3,4,2,2
147,3,3,2,2
148,4,3,2,2
149,3,3,2,2
150,3,3,2,2
151,3,4,3,2
152,4,3,2,2
153,3,2,2,2
154,3,2,2,2
155,3,4,3,2
156,3,3,2,2
157,3,3,2,2
158,3,2,3,2
159,3,2,2,2
160,3,2,2,2
161,4,3,2,2
162,3,3,2,2
163,3,2,2,2
164,3,4,2,2
165,3,2,2,2
166,3,3,2,2
167,3,4,2,2
168,3,4,2,2
169,3,3,2,2
170,3,3,2,2
171,3,3,2,2
172,3,3,2,2
173,3,3,2,2
174,3,2,2,2
175,3,3,2,2
176,5,4,3,2
177,3,4,2,2
178,3,4,2,3
179,3,3,2,2
180,3,2,2,2
181,3,3,2,2
182,3,4,3,2
183,3,3,2,2
184,3,3,2,2
185,4,3,3,2
186,3,3,2,2
187,3,3,2,2
188,3,3,2,2
189,3,4,2,2
190,4,3,2,2
191,3,2,2,2
192,3,3,2,2
193,3,2,2,2
194,3,2,2,2
195,3,4,3,2
196,3,3,2,2
197,3,4,3,2
198,3,4,2,2
199,3,3,2,2
200,4,3,2,2
201,3,3,2,2
202,4,3,2,2
203,3,3,2,2
204,4,3,2,2
205,3,3,2,2
206,3,2,2,2
207,3,4,2,2
