,Q1,Q2,Q3,Q4
0,2,2,2,1
1,5,6,3,2
2,4,5,3,3
3,2,2,1,1
4,1,1,1,1
5,2,2,1,1
6,5,5,3,2
7,4,3,2,1
8,2,3,2,1
9,5,4,3,2
10,3,2,1,1
11,3,3,2,2
12,5,4,3,2
13,3,3,2,2
14,3,4,2,2
15,2,2,1,1
16,1,1,1,1
17,4,3,3,2
18,4,3,2,2
19,3,2,2,1
20,2,2,2,1
21,2,2,1,1
22,3,2,2,1
23,2,3,2,1
24,6,6,5,4
25,2,2,2,3
26,4,5,3,3
27,4,3,2,1
28,3,2,2,1
29,2,2,1,1
30,2,2,1,1
31,2,2,1,1
32,2,2,1,1
33,3,3,2,2
34,3,2,2,1
35,5,6,5,3
36,4,3,2,2
37,3,3,2,2
38,3,2,2,1
39,2,2,2,1
40,3,2,2,1
41,3,2,2,1
42,2,3,2,1
43,4,4,3,5
44,3,2,2,2
45,5,4,3,2
46,1,1,1,1
47,3,2,2,1
48,5,4,3,2
49,2,3,2,1
50,4,3,2,2
51,3,2,1,1
52,3,2,2,1
53,3,4,2,2
54,2,3,2,1
55,4,3,2,2
56,2,2,2,1
57,5,4,3,2
58,2,2,1,1
59,1,2,1,1
60,3,3,2,2
61,2,3,2,1
62,3,2,2,2
63,2,2,2,1
64,3,2,1,1
65,1,1,1,1
66,2,2,2,1
67,5,4,3,3
68,2,1,1,1
69,2,3,1,1
70,4,3,2,1
71,3,3,3,2
72,5,4,3,3
73,2,2,1,1
74,2,2,1,1
75,3,3,2,2
76,3,4,3,2
77,3,3,2,2
78,2,3,1,1
79,3,2,2,1
80,6,5,4,3
81,4,3,2,2
82,3,2,2,1
83,3,3,2,2
84,2,2,1,1
85,1,1,1,1
86,3,3,2,2
87,4,3,2,1
88,5,5,4,3
89,3,2,2,1
90,4,3,3,2
91,5,4,3,2
92,2,3,2,1
93,5,4,3,2
94,5,5,5,5
95,2,2,2,1
96,3,3,2,2
97,2,3,2,1
98,3,4,2,1
99,2,2,1,1
100,3,3,2,1
101,3,2,2,2
102,1,1,1,1
103,4,4,3,2
104,4,3,2,1
105,4,3,3,2
106,3,2,2,1
107,5,5,4,5
108,2,2,2,1
109,3,2,1,1
110,2,2,1,1
111,3,3,2,2
112,3,2,2,1
113,3,2,2,1
114,3,2,2,1
115,5,4,3,3
116,4,3,2,2
117,3,3,2,2
118,5,5,4,3
119,2,2,1,1
120,1,1,1,1
121,2,2,1,1
122,3,3,2,1
123,3,3,2,1
124,2,2,1,1
125,3,3,2,2
126,2,2,1,1
127,3,3,2,2
128,2,2,1,1
129,3,4,2,2
130,3,2,2,1
131,3,3,2,2
132,2,2,1,1
133,5,3,2,2
134,3,4,2,1
135,2,2,1,1
136,4,5,3,3
137,2,3,2,1
138,1,1,1,1
139,3,3,2,2
140,2,2,1,1
141,1,2,1,1
142,2,2,2,1
143,3,3,2,2
144,1,2,1,1
145,4,3,2,1
146,2,2,1,1
147,2,2,2,1
148,3,2,2,1
149,2,2,1,1
150,3,2,2,1
151,3,2,2,1
152,1,1,1,1
153,3,4,2,1
154,2,2,2,1
155,2,2,2,1
156,2,3,2,1
157,5,4,3,2
158,4,3,2,2
159,1,1,1,1
160,2,3,2,1
161,6,5,3,2
162,1,1,1,1
163,2,2,2,1
164,3,3,2,1
165,2,2,1,1
166,2,3,2,1
167,2,2,1,1
168,2,3,2,1
169,3,2,2,1
170,4,3,2,2
171,2,2,1,1
172,5,4,2,2
173,3,2,2,1
174,6,5,4,3
175,5,3,2,2
176,2,2,2,1
177,2,2,1,1
178,2,3,2,1
179,6,5,4,3
180,1,1,1,1
181,5,4,3,3
182,3,3,2,2
183,2,1,1,1
184,2,3,2,1
185,3,3,2,2
186,3,2,3,2
187,4,3,2,2
188,6,7,5,4
189,2,2,1,1
190,3,3,2,2
191,4,3,2,2
192,2,2,1,1
193,3,4,2,1
194,1,1,1,1
195,5,3,3,2
196,3,2,2,1
197,4,3,2,1
198,3,3,2,2
199,2,3,2,1
200,4,3,3,2
201,3,4,2,1
202,5,4,4,3
203,2,2,1,1
204,1,1,1,1
205,5,4,3,2
206,2,2,1,2
207,1,1,1,1
208,2,3,1,1
209,3,2,2,1
210,2,3,2,1
211,3,2,2,2
212,3,2,2,1
213,2,2,1,1
214,3,3,2,2
215,2,3,2,1
216,3,3,2,2
217,6,5,3,2
218,2,3,1,1
219,1,1,1,1
220,2,3,1,1
221,5,4,3,4
222,3,2,1,1
223,3,2,1,1
224,3,2,2,1
225,3,4,2,2
226,2,3,2,1
227,2,2,2,1
228,2,3,2,1
229,4,5,3,2
230,3,2,2,1
231,4,3,3,2
232,3,2,2,1
233,4,3,2,2
234,5,4,3,2
235,4,3,2,1
236,3,4,3,2
237,1,1,1,1
238,3,4,2,1
239,4,3,2,2
240,2,2,1,1
241,4,5,3,2
242,4,3,2,2
243,4,3,2,1
244,2,3,2,1
245,5,5,4,3
246,2,3,2,1
247,3,2,2,1
248,3,2,2,1
249,4,3,3,3
250,5,5,3,2
251,4,3,3,2
252,2,3,2,1
253,2,3,2,2
254,1,1,1,1
255,1,2,2,1
256,3,2,2,2
257,4,5,3,2
258,3,2,2,2
259,3,2,2,1
260,4,3,2,2
261,2,2,1,1
262,2,3,2,1
263,2,2,1,1
264,2,2,1,1
265,3,3,2,1
266,5,4,3,2
267,3,3,2,2
268,3,4,2,2
269,1,1,1,1
270,2,3,1,1
271,5,4,3,2
272,3,2,2,1
273,3,2,2,1
274,4,2,1,1
275,1,2,1,1
276,4,5,3,2
277,4,3,3,2
278,5,5,4,3
279,5,4,3,2
280,2,3,2,1
281,2,3,2,1
282,2,2,1,1
283,2,2,1,1
284,5,4,2,1
285,5,5,4,2
286,4,3,2,1
287,3,2,2,2
288,3,2,2,1
289,3,3,2,3
290,2,1,1,1
291,1,1,1,1
292,3,2,2,1
293,2,3,2,1
294,3,2,1,1
295,4,4,3,2
296,5,4,3,3
297,1,1,1,1
298,5,4,3,2
299,2,3,2,3
300,1,1,1,1
301,4,3,2,1
302,3,3,2,1
303,2,2,1,1
304,5,4,3,2
305,4,5,3,2
306,3,2,1,1
307,2,2,1,1
308,4,3,2,3
309,2,2,2,1
310,1,2,1,1
311,3,2,2,1
312,3,3,2,2
313,3,2,2,1
314,2,2,2,1
315,2,3,2,1
316,2,3,2,1
317,3,4,2,1
318,3,2,2,1
319,3,3,2,2
320,1,2,1,1
321,3,2,2,1
322,3,4,2,1
323,2,1,1,1
324,2,3,2,1
325,1,2,1,1
326,3,3,2,2
327,6,5,4,3
328,2,2,2,2
329,4,3,2,2
330,3,2,1,1
331,5,3,2,1
332,2,3,2,1
333,3,2,2,1
334,5,4,3,2
335,3,4,3,2
336,4,5,3,3
337,4,3,2,5
338,4,3,2,2
339,1,2,1,1
340,1,1,1,1
341,4,5,3,3
342,3,2,2,1
343,1,1,1,1
344,1,2,1,1
345,2,2,3,1
346,3,3,2,2
347,3,2,2,1
348,2,2,1,1
349,4,3,2,3
350,2,3,2,4
351,2,2,1,1
352,3,2,2,1
353,4,3,2,1
354,5,5,4,4
355,5,5,4,3
356,3,2,2,1
357,2,2,1,1
358,3,2,1,1
359,2,3,2,1
360,5,5,4,3
361,3,3,2,1
362,4,3,2,2
363,4,3,3,2
364,4,3,2,2
365,2,3,1,1
366,5,5,3,2
367,2,3,2,2
368,2,2,1,1
369,3,2,2,1
370,2,2,1,1
371,1,2,1,1
372,3,3,2,2
373,3,3,2,2
374,5,3,2,1
375,2,3,2,1
376,3,2,1,1
377,4,3,2,2
378,6,7,5,5
379,2,3,2,1
380,3,3,2,2
381,5,5,4,3
382,1,1,1,1
383,4,5,3,2
384,1,1,1,1
385,5,4,3,2
386,3,3,2,2
387,3,3,2,2
388,1,1,1,1
389,3,2,2,1
390,3,2,2,1
391,4,3,2,2
392,2,3,2,1
393,1,1,1,1
394,4,5,4,3
395,5,4,3,2
396,3,2,2,2
397,3,3,3,2
398,1,2,1,1
399,3,2,2,1
400,3,2,2,1
401,5,4,3,2
402,1,1,1,1
403,4,3,3,2
404,1,2,1,1
405,3,2,2,1
406,1,1,1,1
407,4,5,3,2
408,4,3,3,2
409,4,3,3,2
410,2,3,2,2
411,2,2,1,1
412,3,4,2,1
413,4,3,2,2
414,2,2,1,1
415,2,3,2,1
416,3,2,2,1
417,4,4,3,2
418,3,2,2,1
419,2,2,1,1
420,1,1,1,1
421,1,1,1,1
422,4,3,2,2
423,2,2,1,1
424,1,1,1,1
425,5,3,2,1
426,3,2,1,1
427,3,2,1,1
428,1,1,1,1
429,5,3,2,2
430,3,2,2,1
431,4,3,2,2
432,3,2,2,1
433,3,3,2,2
434,3,2,1,1
435,4,5,3,2
436,2,2,1,1
437,3,2,2,1
438,2,2,1,1
439,5,4,3,3
440,4,3,2,2
441,2,2,2,1
442,2,2,1,1
443,3,3,3,2
444,2,2,1,1
445,3,3,2,1
446,2,2,1,1
447,2,3,2,1
448,1,1,1,1
449,6,5,3,2
450,5,4,3,3
451,2,2,2,1
452,3,2,2,1
453,1,1,1,1
