,Q1,Q2,Q3
0,7,7,7
1,6,5,5
2,7,7,7
3,7,6,6
4,7,6,6
5,6,4,4
6,7,6,6
7,7,6,6
8,6,5,5
9,1,1,1
10,6,5,5
11,6,5,5
12,7,5,6
13,7,6,6
14,6,5,5
15,6,5,5
16,7,6,5
17,6,5,5
18,6,5,5
19,7,5,5
20,7,6,6
21,6,5,5
22,7,7,7
23,7,6,6
24,7,7,7
25,4,4,4
26,7,5,6
27,6,5,5
28,7,5,5
29,7,6,6
30,7,7,7
31,6,5,5
32,6,5,5
33,7,6,6
34,6,5,5
35,7,6,6
36,6,4,5
37,4,3,3
38,7,6,6
39,7,6,6
40,6,5,5
41,6,4,5
42,7,6,6
43,6,5,4
44,5,4,4
45,7,6,6
46,7,5,6
47,6,5,5
48,7,6,6
49,6,6,6
50,6,5,5
51,6,5,5
52,7,7,7
53,7,6,7
54,7,5,6
55,6,5,6
56,6,5,5
57,7,6,6
58,6,4,4
59,7,6,6
60,6,5,6
61,6,6,6
62,7,6,6
63,5,4,4
64,6,5,5
65,7,5,5
66,7,6,5
67,6,4,5
68,6,5,5
69,7,6,5
70,7,7,7
71,3,2,3
72,7,5,6
73,7,6,6
74,7,7,7
75,6,5,4
76,7,6,6
77,6,4,4
78,6,5,5
79,6,3,4
80,6,5,5
81,6,5,5
82,7,7,7
83,7,6,6
84,7,6,6
85,6,5,5
86,6,5,4
87,6,5,5
88,5,4,4
89,7,6,6
90,7,5,6
91,6,6,6
92,6,5,5
93,6,3,4
94,7,7,7
95,7,6,7
96,7,7,7
97,5,5,5
98,5,4,4
99,6,5,5
100,6,5,5
101,7,6,6
102,7,6,7
103,6,4,4
104,5,4,4
105,7,6,6
106,7,5,6
107,5,3,4
108,6,5,5
109,5,4,4
110,6,5,5
111,7,7,7
112,6,5,5
113,6,5,5
114,7,6,6
115,7,5,6
116,4,4,4
117,7,7,7
118,7,7,7
119,7,6,6
120,5,5,5
121,7,6,6
122,7,6,6
123,7,7,7
124,6,5,6
125,6,5,6
126,5,4,4
127,6,5,5
128,6,5,4
129,6,5,5
130,7,7,7
131,4,4,4
132,6,5,5
133,7,7,7
134,6,5,5
135,5,4,4
136,7,6,6
137,6,5,5
138,6,4,3
139,7,6,6
140,7,6,6
141,6,5,5
142,6,6,6
143,5,5,4
144,6,5,5
145,7,7,7
146,7,6,6
147,7,6,6
148,6,5,5
149,6,5,5
150,6,4,4
151,7,6,6
152,7,7,7
153,7,6,6
154,6,5,5
155,7,6,6
156,7,5,6
157,3,2,2
158,6,5,5
159,6,4,5
160,7,6,6
161,7,5,5
162,4,3,4
163,6,5,5
164,6,5,5
165,7,7,7
166,7,6,6
167,7,7,7
168,6,5,5
169,7,6,6
170,7,6,6
171,7,6,6
172,7,6,6
173,5,4,4
174,6,5,5
175,7,5,6
176,7,7,7
177,6,5,5
178,6,5,5
179,6,3,4
180,7,5,5
181,6,5,5
182,6,5,6
183,7,7,7
184,7,7,7
185,6,5,5
186,6,5,4
187,7,7,7
188,6,5,5
189,6,5,5
190,7,7,7
191,2,1,1
192,6,5,5
193,6,5,6
194,4,3,2
195,7,5,5
196,7,6,6
197,5,4,4
198,7,5,5
199,6,5,5
200,4,4,4
201,7,5,5
202,6,5,5
203,6,5,5
204,6,3,2
205,7,6,6
206,6,5,5
207,6,5,5
208,7,6,5
209,6,5,4
210,7,7,7
211,6,4,5
212,6,3,4
213,6,5,5
214,7,5,6
215,6,5,5
216,7,6,6
217,6,5,5
218,6,4,4
219,7,6,6
220,6,5,5
221,7,5,5
222,6,5,5
223,7,6,6
224,7,5,5
225,7,6,6
226,6,5,5
227,6,5,5
228,6,3,4
229,5,4,4
230,5,4,4
231,7,6,6
232,4,2,3
233,6,3,4
234,7,6,6
235,6,5,5
236,7,6,5
237,7,5,6
238,5,3,3
239,3,2,3
240,7,5,5
241,7,6,6
242,7,7,7
243,6,4,4
244,7,7,7
245,6,4,5
246,7,6,6
247,7,6,6
248,6,5,5
249,7,6,6
250,7,7,6
251,6,5,5
252,7,6,6
253,6,4,5
254,5,4,4
255,7,6,6
256,7,6,6
257,7,7,7
258,7,6,6
259,6,5,5
260,7,6,6
261,7,7,7
262,6,5,5
263,4,4,4
264,7,5,5
265,7,6,6
266,6,5,5
267,6,5,5
268,6,5,5
269,5,4,4
270,7,7,7
271,6,5,5
272,5,3,3
273,6,4,5
274,6,5,5
275,7,7,7
276,7,5,5
277,6,5,5
278,7,6,6
279,6,5,5
280,7,6,6
281,6,5,5
282,7,6,6
283,7,6,6
284,6,5,5
285,7,6,7
286,2,1,1
287,7,4,5
288,6,5,5
289,5,4,4
290,7,6,6
291,6,5,5
292,6,5,5
293,7,5,6
294,7,6,6
295,7,6,6
296,6,5,5
297,7,6,7
298,7,6,6
299,6,6,6
300,6,5,5
301,7,6,7
302,7,5,5
303,5,4,4
304,6,5,6
305,7,6,6
306,7,6,6
307,6,4,4
308,5,4,5
309,7,7,7
310,6,5,5
311,6,5,5
312,7,6,6
313,7,6,6
314,7,7,7
315,7,7,7
316,6,5,5
317,6,5,5
318,7,7,7
319,6,5,5
320,6,4,4
321,7,5,5
322,7,4,6
323,7,6,5
324,7,6,6
325,7,6,6
326,6,5,5
327,5,4,4
328,6,5,5
329,6,5,5
330,7,7,7
331,7,6,7
332,5,4,4
333,7,6,6
334,6,5,5
335,7,5,5
336,7,7,7
337,6,5,5
338,7,5,6
339,7,6,6
340,6,4,5
341,7,6,6
342,7,6,6
343,6,5,5
344,7,6,6
345,7,6,6
346,7,7,7
347,7,6,6
348,7,4,5
349,7,6,6
350,6,4,4
351,5,3,4
352,7,6,6
353,7,7,7
354,7,7,7
355,6,5,5
356,7,6,6
357,5,3,4
358,7,5,5
359,7,5,5
360,6,4,5
361,7,5,6
362,7,7,7
363,7,6,6
364,7,5,5
365,7,6,6
366,7,7,7
367,6,5,5
368,6,5,5
369,7,7,7
370,3,4,4
371,7,5,5
372,7,6,6
373,7,7,7
374,2,3,2
375,6,5,5
376,7,6,6
377,4,2,3
378,6,5,5
379,6,3,4
380,6,5,5
381,5,3,3
382,7,7,7
383,7,6,6
384,7,6,6
385,5,4,4
386,7,7,7
387,6,4,5
388,6,5,5
389,7,7,7
390,7,7,7
391,7,7,7
392,5,4,4
393,1,1,1
394,6,5,5
395,6,5,5
396,6,6,5
397,7,6,6
398,5,3,4
399,6,3,3
400,7,6,6
401,6,3,4
402,6,5,5
403,3,3,4
404,6,5,5
405,7,6,6
406,6,5,5
407,5,4,4
408,7,5,6
409,5,4,4
410,7,7,7
411,6,5,6
412,7,6,6
413,7,5,5
414,7,6,6
415,6,5,5
416,7,7,7
417,6,5,5
418,6,5,5
419,7,6,6
420,7,6,6
421,6,5,5
422,7,6,6
423,7,5,6
424,6,4,5
425,6,4,5
426,6,5,5
427,7,5,5
428,6,5,5
429,6,5,5
430,7,6,5
431,7,7,7
432,7,5,6
433,7,7,6
434,6,3,4
435,6,4,4
436,7,5,6
437,6,3,5
438,3,1,2
439,6,4,5
440,7,6,6
441,6,5,5
442,6,4,5
443,6,5,6
444,7,6,6
445,6,5,5
446,6,5,5
447,7,6,6
448,7,6,6
449,5,3,4
450,7,5,6
451,7,6,6
452,6,4,4
453,6,5,5
454,7,6,6
455,7,6,6
456,6,5,5
457,6,5,5
458,7,6,6
459,7,7,7
460,7,6,6
461,7,5,5
462,6,5,5
463,6,5,5
464,7,6,6
465,6,4,4
466,5,4,4
467,6,5,5
468,6,5,5
469,6,5,5
470,6,5,6
471,7,7,7
472,6,5,5
473,5,3,4
474,6,6,6
475,6,5,5
476,7,5,5
477,7,5,5
478,6,5,5
479,7,6,6
480,3,2,3
481,6,5,5
482,7,6,6
483,7,6,6
484,7,6,6
485,7,5,5
486,7,7,7
487,7,4,5
488,7,7,7
489,7,6,6
490,6,5,5
491,7,3,5
492,6,4,5
493,7,5,5
494,7,7,7
495,7,6,6
496,6,5,5
497,3,3,3
498,7,7,7
499,6,5,5
500,6,5,6
501,7,6,6
502,7,6,6
503,7,5,5
504,7,5,6
505,7,7,6
506,7,5,6
507,5,3,4
508,6,5,5
509,7,6,6
510,7,6,6
511,6,5,5
512,6,5,5
513,7,6,6
514,7,7,7
515,7,6,6
516,7,7,7
517,3,1,2
518,7,7,7
519,7,7,7
520,7,6,6
521,7,4,5
522,6,3,4
523,7,6,6
524,7,6,6
525,7,6,6
526,6,5,6
527,5,4,4
528,7,6,6
529,7,7,7
530,7,6,6
531,6,4,4
532,5,3,4
533,6,5,5
534,6,6,5
535,6,5,4
536,7,7,7
537,5,3,4
538,7,7,7
539,7,7,7
540,7,6,6
541,4,3,3
542,6,5,5
543,7,6,7
544,7,5,6
545,6,3,3
546,6,5,5
547,7,6,6
548,7,6,6
549,7,7,7
550,6,5,5
551,6,3,4
552,5,4,4
553,5,4,4
554,6,5,5
555,7,7,7
556,6,5,5
557,7,5,6
558,6,5,5
559,6,5,4
560,7,6,5
561,7,6,6
562,7,7,7
563,6,3,4
564,7,6,6
565,7,6,6
566,7,7,7
567,7,6,6
568,7,4,5
569,7,6,6
570,7,6,6
571,7,6,6
572,6,5,5
573,6,5,6
574,5,3,4
575,6,4,5
576,7,6,6
577,5,3,4
578,7,6,6
579,7,7,7
580,6,5,5
581,7,7,7
582,7,6,6
583,7,7,7
584,6,5,5
585,7,6,6
586,6,5,5
587,6,5,5
588,7,6,6
589,7,6,6
590,6,5,5
591,7,6,6
592,7,5,5
593,7,6,6
594,6,5,5
595,7,6,6
596,6,5,5
597,6,5,5
598,7,6,6
599,5,3,3
600,7,6,6
601,6,6,6
602,6,5,5
603,7,5,6
604,7,7,7
605,7,7,7
606,6,5,5
607,6,3,4
608,7,6,6
609,6,5,5
610,6,5,5
611,7,7,7
612,6,5,5
613,6,5,5
614,7,6,6
615,7,6,6
616,7,7,7
617,6,5,5
618,7,6,6
619,7,6,6
620,7,5,5
621,6,5,5
622,7,6,6
623,7,6,6
624,7,5,6
625,7,7,6
626,7,6,6
627,6,5,5
628,6,5,5
629,7,7,7
630,6,5,5
631,3,2,2
632,7,5,6
633,6,5,5
634,6,4,5
635,6,5,5
636,5,3,3
637,7,5,5
638,6,5,5
639,7,5,5
640,7,7,7
641,5,4,4
642,6,5,5
643,6,4,4
644,6,5,5
645,7,7,7
646,7,5,5
647,6,5,5
648,6,5,4
649,7,5,5
650,6,5,5
651,5,3,4
652,6,5,5
653,5,4,4
654,6,5,5
655,7,6,6
656,7,6,6
657,4,4,4
658,6,5,5
659,6,4,3
660,7,5,6
661,6,5,5
662,7,6,6
663,6,5,5
664,6,5,5
665,6,5,5
666,7,5,5
667,7,5,6
668,7,6,7
669,6,5,5
670,7,7,7
671,6,5,5
672,6,5,5
673,7,7,7
674,6,6,6
