,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
0,5,5,5,6,4,4,5,5,4,4
1,5,6,5,6,4,4,4,5,4,5
2,5,6,4,6,4,4,5,5,4,4
3,5,6,5,6,5,5,4,4,5,4
4,5,6,5,6,5,5,4,5,4,4
5,5,5,5,6,4,4,4,4,5,5
6,5,5,4,6,4,4,3,4,4,3
7,5,6,5,6,4,4,5,5,4,4
8,5,5,4,6,5,5,4,4,4,4
9,4,5,3,6,2,3,5,4,3,4
10,5,5,4,6,4,4,5,5,4,4
11,6,6,5,7,5,5,6,5,5,6
12,6,6,5,7,6,5,5,5,4,5
13,5,5,4,6,3,3,4,4,4,4
14,6,6,5,7,5,5,5,4,5,5
15,5,5,5,6,5,5,4,4,4,4
16,6,5,5,6,5,5,4,4,4,5
17,6,5,5,6,5,5,5,5,5,5
18,5,5,4,6,5,5,4,4,5,4
19,6,5,5,6,4,4,5,4,4,4
20,5,5,4,6,4,4,3,3,3,4
21,5,5,4,6,4,5,4,5,4,5
22,5,6,5,7,4,4,5,4,5,4
23,5,6,5,6,5,6,4,4,4,5
24,5,4,4,6,3,4,4,4,3,4
25,5,5,5,6,4,4,4,4,4,5
26,5,6,5,6,4,5,4,5,4,5
27,5,4,4,6,5,5,4,4,3,3
28,6,5,5,6,4,4,4,5,5,5
29,4,5,5,6,4,4,4,4,3,3
30,5,6,5,6,4,4,5,5,5,4
31,5,6,5,6,4,5,4,4,4,5
32,5,5,4,6,5,5,4,4,4,5
33,5,5,4,6,5,4,4,3,4,3
34,5,5,4,6,4,5,4,4,4,5
35,5,5,4,6,5,5,4,4,4,4
36,4,4,3,5,2,3,3,3,3,3
37,5,5,5,6,3,4,4,4,3,4
38,5,6,5,7,4,4,5,5,4,5
39,4,5,4,6,3,3,4,4,3,4
40,5,5,4,6,3,3,4,4,3,4
41,5,6,5,7,4,5,4,5,4,5
42,5,6,5,6,4,5,5,4,5,5
43,5,5,4,6,3,3,4,4,5,5
44,5,6,5,7,5,5,4,4,5,4
45,5,5,5,6,4,4,4,4,4,5
46,5,6,5,6,4,3,5,4,4,5
47,5,6,5,6,3,4,5,4,4,3
48,5,6,5,6,5,4,4,4,5,5
49,5,6,5,6,4,5,4,5,4,4
50,5,6,5,7,6,5,4,4,5,4
51,5,6,5,6,5,4,5,4,4,5
52,6,6,5,7,3,4,5,5,5,6
53,5,6,5,7,4,4,5,5,4,5
54,5,5,6,7,3,4,5,5,4,5
55,6,6,5,7,5,5,4,4,4,5
56,5,4,4,6,5,4,4,4,3,4
57,5,5,5,6,5,5,4,4,5,5
58,5,6,5,6,4,4,5,5,5,5
59,5,5,4,6,5,4,5,4,4,4
60,5,5,4,6,3,3,4,3,4,3
61,6,6,5,7,5,5,5,4,5,4
62,5,6,5,7,5,4,4,5,4,5
63,5,6,6,6,4,4,5,5,5,4
64,5,4,5,6,4,4,3,3,3,4
65,6,5,5,6,5,5,4,4,4,4
66,5,5,4,6,5,5,4,4,4,4
67,5,5,4,7,3,4,4,4,5,4
68,5,5,4,6,5,5,4,4,3,4
69,5,5,4,6,4,4,4,4,4,4
70,5,5,4,5,3,3,4,4,3,4
71,5,4,4,6,3,3,5,4,4,4
72,5,6,5,6,4,4,3,3,4,4
73,5,6,5,6,4,4,5,5,5,5
74,5,6,5,6,3,4,4,4,5,3
75,6,5,5,6,4,5,4,4,4,4
76,5,6,5,6,4,4,4,5,4,4
77,5,4,4,6,3,3,3,3,3,4
78,5,6,5,6,4,4,5,5,4,5
79,5,6,5,6,3,4,4,4,5,4
80,5,5,4,6,4,4,4,4,4,4
81,5,5,4,6,4,4,4,4,4,3
82,3,3,4,4,3,3,4,3,3,3
83,5,5,4,6,4,4,5,5,3,4
84,6,6,5,6,5,5,5,5,4,4
85,5,5,4,6,5,5,4,4,4,4
86,5,4,4,6,4,5,3,3,3,4
87,5,6,6,7,5,5,4,5,5,4
88,6,5,5,7,4,4,5,4,3,5
89,5,6,5,6,4,4,5,4,5,5
90,5,5,4,6,5,4,4,4,4,5
91,5,5,5,6,6,6,4,4,4,5
92,6,6,5,7,4,5,5,5,4,5
93,5,5,4,6,3,4,4,3,4,3
94,5,5,4,6,3,4,4,4,4,3
95,6,6,5,7,4,3,5,5,5,4
96,6,5,5,6,5,5,4,5,3,3
97,5,6,5,6,5,5,4,5,4,5
98,6,6,5,6,5,5,4,4,5,4
99,5,6,5,6,5,4,4,4,3,4
100,6,5,5,7,4,4,3,4,4,4
101,5,5,4,6,4,4,3,3,4,4
102,5,6,5,6,4,4,4,5,5,5
103,5,6,5,6,4,4,5,5,5,5
