,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
0,7,7,7,7,7,7,6,7,7,6
1,6,6,5,6,5,5,5,5,5,5
2,7,7,6,7,6,7,7,7,6,7
3,6,6,5,7,5,5,4,5,5,6
4,6,6,6,7,5,5,6,5,6,5
5,5,5,5,6,4,4,4,4,4,4
6,7,7,6,7,6,6,6,6,5,6
7,6,6,6,7,6,6,6,6,6,6
8,6,6,5,6,5,5,4,4,5,5
9,3,3,2,3,2,2,2,3,2,2
10,5,6,5,6,5,5,4,4,4,5
11,5,6,5,7,4,5,4,5,4,5
12,6,6,6,7,6,6,5,5,6,6
13,7,7,7,7,6,7,6,6,7,6
14,5,5,5,6,5,5,4,5,4,5
15,5,5,5,6,5,5,4,5,4,5
16,6,6,6,7,5,5,5,5,6,6
17,5,5,5,6,5,5,4,4,4,4
18,6,6,5,6,5,5,4,5,5,6
19,6,6,5,6,5,5,5,5,4,5
20,6,7,6,7,5,5,5,5,6,6
21,6,6,6,7,5,5,5,5,6,6
22,7,7,7,7,6,6,5,5,6,6
23,6,6,6,7,6,6,5,5,6,6
24,7,7,7,7,6,6,6,6,7,7
25,4,4,4,5,4,4,4,4,4,4
26,5,6,5,6,4,4,5,5,5,6
27,6,6,5,6,5,5,4,5,5,5
28,6,7,6,7,5,5,4,4,5,5
29,6,6,6,7,5,5,5,5,6,6
30,7,7,7,7,7,7,7,7,7,7
31,5,5,5,6,4,4,5,4,5,4
32,6,6,5,6,5,5,5,6,5,6
33,6,6,5,6,5,5,4,4,5,5
34,6,6,5,7,5,5,4,4,5,5
35,7,7,7,7,6,6,6,6,7,7
36,5,5,5,6,4,4,5,5,4,5
37,5,5,4,6,4,4,3,3,4,4
38,7,7,7,7,6,6,6,6,6,7
39,6,6,5,7,5,4,6,6,5,6
40,5,5,4,6,5,5,4,5,4,4
41,5,6,6,6,5,5,4,4,5,5
42,6,6,6,7,6,6,5,5,6,6
43,6,7,6,7,5,4,6,5,5,5
44,4,5,4,6,4,4,4,4,4,4
45,5,6,5,7,5,5,4,4,5,5
46,6,6,6,7,5,5,5,5,5,6
47,6,6,5,6,5,5,6,5,6,5
48,7,7,7,7,7,7,7,7,7,7
49,6,7,6,7,6,6,6,5,6,6
50,6,6,6,7,5,5,5,5,6,6
51,4,4,5,5,3,3,4,3,4,3
52,7,7,7,7,6,6,6,6,7,7
53,7,7,7,7,6,6,5,5,6,6
54,6,7,6,7,5,6,5,6,6,7
55,5,3,2,4,4,3,4,4,3,4
56,7,7,7,7,6,6,6,6,7,6
